,Q1,,,,,,,,,,,,Q2,,,,,,,,,,,
194696,0,6.67E-05,15001,1,302092.35,302093.35,1,302093.35,479273.25,479274.25,1,479274.25,10852.9067,10853.9067,0.0000667,0.723545544,396547.44,1.312668551,302093.35,396548.44,314382.86,0.65595817,479274.25,314383.86
194697,0,6.67E-05,15001,1,47672.02,47673.02,1,47673.02,152268.22,152269.22,1,152269.22,10240,10241,0.0000667,0.682687821,317227.03,6.654246574,47673.02,317228.03,361142.17,2.371741117,152269.22,361143.17
194710,2433.3333,0.162278068,15001,2434.3333,342500,1.562171745,219246.7,342501,377700,0.800049346,472097.13,377701,0,0.00041079,0.162278068,0.0000667,266000,0.776642988,1.562171745,1.213249732,535500,1.417790792,0.800049346,1.134302596
194712,4909.9808,0.327376895,15001,4910.9808,283781.15,283782.15,1,283782.15,274244.1,274245.1,1,274245.1,20333.3333,4.140584972,0.327376895,1.355531851,466432.76,1.643633188,283782.15,466433.76,412407.1,1.503793869,274245.1,412408.1
194713,12246.3306,0.816434278,15001,12247.3306,334286.8,334287.8,1,334287.8,323190.09,323191.09,1,323191.09,27158.1173,2.217554028,0.816434278,1.810487121,428859.97,1.282909427,334287.8,428860.97,407935.29,1.262213912,323191.09,407936.29
194740,2000,0.400119976,5001,2001,214670.11,214671.11,1,214671.11,364298.1,364299.1,1,364299.1,0,0.00049975,0.400119976,0.00019996,43418.6,0.202261031,214671.11,43419.6,230528.34,0.632802387,364299.1,230529.34
194745,0,8.33E-05,12001,1,68906,-44.14285714,-1561,68907,149983,0.665065521,225517.63,149984,0,1,0.0000833,0.0000833,56531,0.820410118,-44.14285714,-36.21524664,158283,1.055339236,0.665065521,0.701869739
195378,5517.4933,0.367875028,15001,5518.4933,194831.55,194832.55,1,194832.55,192319.32,192320.32,1,192320.32,17994.8416,3.261006333,0.367875028,1.199642797,256119.1,1.314565251,194832.55,256120.1,245172.1,1.27481641,192320.32,245173.1
195380,0,6.67E-05,15001,1,138261.34,138262.34,1,138262.34,189043.02,189044.02,1,189044.02,0,1,0.0000667,0.0000667,67184.26,0.485925958,138262.34,67185.26,248593.6,1.315009065,189044.02,248594.6
195388,4600,0.306712886,15001,4601,257261.74,257262.74,1,257262.74,189970.92,189971.92,1,189971.92,0,0.000217344,0.306712886,0.0000667,222320.2,0.864179554,257262.74,222321.2,308356.12,1.623172098,189971.92,308357.12
195389,4600,0.306712886,15001,4601,230303.46,230304.46,1,230304.46,197186.35,197187.35,1,197187.35,0,0.000217344,0.306712886,0.0000667,218754.91,0.949855292,230304.46,218755.91,318617.79,1.615817597,197187.35,318618.79
195410,0,8.00E-05,12501,1,300860,1.74361028,172550.6,300861,420803,1.432539227,293746.93,420804,9533.3333,9534.3333,0.00008,0.762685649,392320,1.303994203,1.74361028,2.273657698,462624,1.099383561,1.432539227,1.574910077
195460,0,0.00019996,5001,1,163162.3,163163.3,1,163163.3,234322.2,234323.2,1,234323.2,0,1,0.00019996,0.00019996,78967.4,0.483983837,163163.3,78968.4,254148.6,1.08461134,234323.2,254149.6
195463,6899.1168,0.459977122,15001,6900.1168,342077.68,342078.68,1,342078.68,291730.54,291731.54,1,291731.54,0,0.000144925,0.459977122,0.0000667,253636.36,0.741459129,342078.68,253637.36,368056.43,1.261630573,291731.54,368057.43
195486,4005.8333,1.001457961,4001,4006.8333,460500,1.281879123,359239.02,460501,446100,1.474249503,302595.32,446101,0,0.000249574,1.001457961,0.000249938,315200,0.684474084,1.281879123,0.877413038,309700,0.694239645,1.474249503,1.023482452
195520,1000,0.066728885,15001,1001,51088.8,51089.8,1,51089.8,138492.7,138493.7,1,138493.7,0,0.000999001,0.066728885,0.0000667,23559.7,0.461162502,51089.8,23560.7,151664.4,1.095106853,138493.7,151665.4
195521,0,0.00019996,5001,1,45902.24,45903.24,1,45903.24,79347.98,79348.98,1,79348.98,0,1,0.00019996,0.00019996,45902.24,45903.24,1,45903.24,79347.98,79348.98,1,79348.98
195524,13617.408,0.907833344,15001,13618.408,382706.9,382707.9,1,382707.9,413768.06,413769.06,1,413769.06,1000,0.073503452,0.907833344,0.066728885,168339.04,0.4398656,382707.9,168340.04,532247.4,1.28634171,413769.06,532248.4
195526,6000,1.499875031,4001,6001,319200,319201,1,319201,319258.976,1.002516258,318458.6519,319259.976,0,0.000166639,1.499875031,0.000249938,185440,0.580953694,319201,185441,194585.84,0.609493374,1.002516258,0.611027017
195527,0,7.69E-05,13001,1,38764.72,38765.72,1,38765.72,157569,157570,1,157570,13655.3813,13656.3813,0.0000769,1.050410068,160761.14,4.147018036,38765.72,160762.14,182331,1.157149204,157570,182332
195564,7612.5,0.543782587,14001,7613.5,203328,1.806148735,112576,203329,201600,1.088414917,185224.4,201601,0,0.000131346,0.543782587,0.0000714,152064,0.747876594,1.806148735,1.350776364,224640,1.114285147,1.088414917,1.212804577
196222,2944.64,2945.64,1,2945.64,200056.16,200057.16,1,200057.16,232810.14,232811.14,1,232811.14,0,0.000339485,2945.64,1,82143.82,0.410606749,200057.16,82144.82,190899.18,0.819978718,232811.14,190900.18
196239,4386.6667,0.365608424,12001,4387.6667,88353.6,0.402310192,219618.1,88354.6,90446,0.264737375,341648.02,90447,0,0.000227912,0.365608424,0.0000833,93694,1.060442807,0.402310192,0.426626949,180817,1.999159729,0.264737375,0.529252299
196299,8433.3333,0.562251403,15001,8434.3333,529622.68,529623.68,1,529623.68,467143.53,467144.53,1,467144.53,18800,2.229103277,0.562251403,1.253316446,545381.83,1.029755373,529623.68,545382.83,488411.43,1.045527452,467144.53,488412.43
196309,6733.3333,0.448925625,15001,6734.3333,479733.97,1.119557035,428504.27,479734.97,458334.35,1.358750019,337321.32,458335.35,20326.6667,3.018512122,0.448925625,1.355087441,560739.62,1.168855003,1.119557035,1.308599842,545843.17,1.190927494,1.358750019,1.618172756
196310,7566.6667,0.504477482,15001,7567.6667,446303,446304,1,446304,409896.5,409897.5,1,409897.5,24153.3333,3.191780803,0.504477482,1.610181541,564469.96,1.264767871,446304,564470.96,525645.26,1.282384645,409897.5,525646.26
196319,3673.3333,0.262433633,14001,3674.3333,327710,13.23132728,24767.81,327711,382987,2.892996199,132384.55,382988,0,0.000272158,0.262433633,0.0000714,165880,0.506180751,13.23132728,6.697443173,357547,0.933574942,2.892996199,2.70082876
196407,6453.3333,0.53781629,12001,6454.3333,387992,3.641610278,106544.35,387993,405416,3.382047852,119873.23,405417,0,0.000154935,0.53781629,0.0000833,310596,0.800522174,3.641610278,2.915189778,404184,0.996961154,3.382047852,3.371770328
196409,18103.9504,1.206916232,15001,18104.9504,247728.59,247729.59,1,247729.59,231824.74,231825.74,1,231825.74,1000,0.055288746,1.206916232,0.066728885,211448.8,0.853550841,247729.59,211449.8,320199,1.381209869,231825.74,320200
196437,7750,0.704572312,11001,7751,119671.66,119672.66,1,119672.66,104176.41,104177.41,1,104177.41,26084.6416,3.365454986,0.704572312,2.371206399,251226.17,2.099286253,119672.66,251227.17,238771.07,2.291975487,104177.41,238772.07
196438,10118.992,0.674621159,15001,10119.992,249422.28,249423.28,1,249423.28,257171.31,257172.31,1,257172.31,36166.6667,3.573882934,0.674621159,2.411017046,401566.16,1.609982677,249423.28,401567.16,357236.1,1.389096283,257172.31,357237.1
196516,5416.3306,0.361131298,15001,5417.3306,66191.2,66192.2,1,66192.2,50304.3,50305.3,1,50305.3,17948.416,3.313332216,0.361131298,1.196547963,201903.52,3.050276619,66192.2,201904.52,130635.9,2.596881442,50305.3,130636.9
196553,7053.3333,0.470257536,15001,7054.3333,185260.99,185261.99,1,185261.99,170584.41,170585.41,1,170585.41,0,0.000141757,0.470257536,0.0000667,69096.27,0.37297057,185261.99,69097.27,230983.2,1.354067737,170585.41,230984.2
196564,4950,0.353617599,14001,4951,226080,2.241350594,100868.2,226081,264960,1.272690244,208189.7,264961,24291.6667,4.906618198,0.353617599,1.735066545,329184,1.456048938,2.241350594,3.263516153,316800,1.195651435,1.272690244,1.521693917
196572,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1
196574,4279.5392,0.855936653,5001,4280.5392,113018.45,113019.45,1,113019.45,132002.64,132003.64,1,132003.64,0,0.000233615,0.855936653,0.00019996,113018.45,113019.45,1,113019.45,132002.64,132003.64,1,132003.64
196576,8463.3728,0.769418489,11001,8464.3728,190778.12,190779.12,1,190779.12,220990.9,220991.9,1,220991.9,18517.8165,2.187854545,0.769418489,1.683375739,270154.36,1.416063561,190779.12,270155.36,302912.42,1.370699198,220991.9,302913.42
196587,4664.3533,0.31100282,15001,4665.3533,132130,1.528643777,86436.75,132131,77116,1.787515646,43142,77117,13666.7767,2.929633796,0.31100282,0.911124372,154207,1.167084182,1.528643777,1.784055972,117975,1.529831295,1.787515646,2.734597376
196599,5516.1387,0.367784728,15001,5517.1387,223685.7,4.197063569,53296,223686.7,202196,1.399140699,144515.13,202197,21174.208,3.838077879,0.367784728,1.411586428,295119.15,1.319345987,4.197063569,5.537378978,265107.05,1.311137406,1.399140699,1.834465706
196662,11272.192,0.751496034,15001,11273.192,319933,1.67993344,190444.45,319934,362480.78,0.93694893,386874.64,362481.78,0,0.0000887,0.751496034,0.0000667,365488.92,1.142391618,1.67993344,1.919141881,440821.95,1.216124435,0.93694893,1.139446488
196665,0,0.00019996,5001,1,36357.56,36358.56,1,36358.56,101676.78,101677.78,1,101677.78,0,1,0.00019996,0.00019996,36357.56,36358.56,1,36358.56,101676.78,101677.78,1,101677.78
196666,0,0.00019996,5001,1,304244.8,4.019858441,75685.7,304245.8,458858.12,0.933476329,491559.46,458859.12,0,1,0.00019996,0.00019996,167090.9,0.549200351,4.019858441,2.207707665,100405.24,0.218817139,0.933476329,0.20426062
196667,1000,0.066728885,15001,1001,245203.58,-1.679785556,-145973.74,245204.58,361764.17,0.820159405,441091.29,361765.17,13095.2789,13.0831957,0.066728885,0.873027058,390784.2,1.593710852,-1.679785556,-2.677092469,403155.26,1.114414248,0.820159405,0.913997327
196669,15873.3333,1.133799964,14001,15874.3333,518890,2.214449867,234320.5,518891,506160,1.172267299,431779.51,506161,35800,2.255275817,1.133799964,2.557031641,545300,1.050897009,2.214449867,2.327158742,518434,1.024249201,1.172267299,1.200693845
196675,0,1,1,1,99360,-20.03423691,-4959.56,99361,49650,0.236208126,210200.22,49651,0,1,1,1,99360,-20.03423691,-4959.56,99361,49650,0.236208126,210200.22,49651
196712,4415.5733,0.31544699,14001,4416.5733,149857,3.812171843,39310.4,149858,138143,1.982802051,69671.1,138144,13496.9167,3.05619669,0.31544699,0.964068045,179129,1.195331581,3.812171843,4.556809394,158840,1.149821925,1.982802051,2.279869271
196844,0,7.14E-05,14001,1,7920,0.038334684,206627.5,7921,150392,1.512684358,99421.27,150393,0,1,0.0000714,0.0000714,102960,12.99848504,0.038334684,0.498292822,237600,1.579867414,1.512684358,2.389840725
196991,4290.3707,0.357584426,12001,4291.3707,148127.2,1.415920288,104616.2,148128.2,124430,0.871786299,142731.08,124431,13186.8487,3.073108716,0.357584426,1.098895817,176534.4,1.191774422,1.415920288,1.687457583,179910,1.445869598,0.871786299,1.260489306
196999,5000,5001,1,5001,143300.6,1.488565235,96268.27,143301.6,288081.98,1.443482372,199574.99,288082.98,0,0.00019996,5001,1,258155.8,1.801492796,1.488565235,2.681639547,310747.02,1.078675387,1.443482372,1.557048907
197065,12178.3333,12179.3333,1,12179.3333,1053360,1.220620985,862971.4,1053361,1153680,1.928817133,598128.76,1153681,0,0.0000821,12179.3333,1,358720,0.340548967,1.220620985,0.415681215,1363440,1.181818024,1.928817133,2.279510853
197068,11233.3333,11234.3333,1,11234.3333,341832,341833,1,341833,358819.7448,358820.7448,1,358820.7448,34450,3.066581619,11234.3333,34451,437008.728,1.278430485,341833,437009.728,384574.664,1.071776561,358820.7448,384575.664
197147,2560,2561,1,2561,142272,142273,1,142273,161856,161857,1,161857,13395,5.230769231,2561,13396,126786,0.891152924,142273,126787,139740,0.863360868,161857,139741
197149,7293.3333,7294.3333,1,7294.3333,158400,3.747326735,42270.4,158401,171600,3.847579346,44599.73,171601,0,0.000137093,7294.3333,1,0,0.00000631,3.747326735,0.0000237,0,0.00000583,3.847579346,0.0000224
197278,4000,4001,1,4001,210800,210801,1,210801,524100,524101,1,524101,0,0.000249938,4001,1,85000,0.403228637,210801,85001,165200,0.315208328,524101,165201
197279,5173.3333,5174.3333,1,5174.3333,272485,272486,1,272486,274641,274642,1,274642,0,0.000193262,5174.3333,1,272485,272486,1,272486,274641,274642,1,274642
197599,4000,4001,1,4001,85128.2,85129.2,1,85129.2,278213,278214,1,278214,0,0.000249938,4001,1,72240,0.848604239,85129.2,72241,205368,0.738169179,278214,205369
197663,0,1,1,1,1260080,1260081,1,1260081,732640,732641,1,732641,0,1,1,1,1260080,1260081,1,1260081,732640,732641,1,732641
197667,7200,7201,1,7201,183600,183601,1,183601,214761,214762,1,214762,8410,1.168032218,7201,8411,120360,0.655557432,183601,120361,140250,0.653053147,214762,140251
197778,11213.95,11214.95,1,11214.95,548644,548645,1,548645,479701,479702,1,479702,0,0.0000892,11214.95,1,174002,0.317150434,548645,174003,291612,0.607904491,479702,291613
197843,5000,5001,1,5001,129200,129201,1,129201,319200,319201,1,319201,0,0.00019996,5001,1,171760,1.329409215,129201,171761,220400,0.69047716,319201,220401
197855,0,1,1,1,38000,38001,1,38001,159600,159601,1,159601,0,1,1,1,38000,38001,1,38001,159600,159601,1,159601
197951,5000,5001,1,5001,49134,49135,1,49135,238080,238081,1,238081,0,0.00019996,5001,1,82578,1.680655337,49135,82579,245040,1.029233748,238081,245041
197953,11804.1433,11805.1433,1,11805.1433,432115,432116,1,432116,363314,363315,1,363315,0,0.0000847,11805.1433,1,321475,0.743957641,432116,321476,455251,1.253050383,363315,455252
198028,0,1,1,1,280800,280801,1,280801,476886,476887,1,476887,0,1,1,1,0,0.00000356,280801,1,0,0.0000021,476887,1
198038,0,1,1,1,124080,1.5635118,79360.45,124081,88704,0.88423495,100318.36,88705,0,1,1,1,124080,1.5635118,79360.45,124081,88704,0.88423495,100318.36,88705
198045,8776.6667,8777.6667,1,8777.6667,198474,198475,1,198475,194864,194865,1,194865,24480,2.789009977,8777.6667,24481,256158,1.2906361,198475,256159,250002,1.282954866,194865,250003
198941,11478.2806,11479.2806,1,11479.2806,319717.82,319718.82,1,319718.82,325256.36,325257.36,1,325257.36,12049.3952,1.049751776,11479.2806,12050.3952,328891.34,1.028692462,319718.82,328892.34,388934.19,1.195776754,325257.36,388935.19
199015,10728.5333,10729.5333,1,10729.5333,537080,537081,1,537081,614882,614883,1,614883,22961.6,2.140130363,10729.5333,22962.6,573708,1.068198279,537081,573709,662244,1.077026036,614883,662245
199108,5000,5001,1,5001,116640,116641,1,116641,115200,115201,1,115201,21422.5,4.283843231,5001,21423.5,228960,1.962954707,116641,228961,223200,1.937491862,115201,223201
199126,5000,5001,1,5001,146736,146737,1,146737,252000,252001,1,252001,0,0.00019996,5001,1,138528,0.944063188,146737,138529,504000,1.999996032,252001,504001
199250,5000,5001,1,5001,90924,90925,1,90925,175350,175351,1,175351,0,0.00019996,5001,1,85995,0.945790487,90925,85996,190287,1.085183432,175351,190288
199251,11333.3333,11334.3333,1,11334.3333,454464,454465,1,454465,453600,453601,1,453601,37480,3.306855287,11334.3333,37481,565488,1.24429604,454465,565489,561312,1.237459794,453601,561313
199354,5666.6667,5667.6667,1,5667.6667,77941.7,77942.7,1,77942.7,115737.7,115738.7,1,115738.7,15452.4928,2.726605783,5667.6667,15453.4928,243392.74,3.122726567,77942.7,243393.74,224527.46,1.9399601,115738.7,224528.46
199356,5000,5001,1,5001,108135,108136,1,108136,187529,187530,1,187530,14740.6,2.947730454,5001,14741.6,284202,2.628199674,108136,284203,271215,1.446253933,187530,271216
199361,5000,5001,1,5001,124992,124993,1,124993,99324,99325,1,99325,13825,2.764647071,5001,13826,129150,1.033265863,124993,129151,138132,1.390717342,99325,138133
199362,5000,5001,1,5001,128560,128561,1,128561,132478,132479,1,132479,12650,2.529694061,5001,12651,234580,1.82466689,128561,234581,210332,1.587670499,132479,210333
199428,5000,5001,1,5001,121149.3,121150.3,1,121150.3,262684.08,262685.08,1,262685.08,21500,4.299340132,5001,21501,447107.33,3.690525983,121150.3,447108.33,424759.44,1.61699492,262685.08,424760.44
199430,5000,5001,1,5001,261654.2,261655.2,1,261655.2,234738.42,234739.42,1,234739.42,14622.912,2.92419756,5001,14623.912,333098.2,1.27304636,261655.2,333099.2,391041.9,1.665859531,234739.42,391042.9
199434,5333.3333,5334.3333,1,5334.3333,2918.92,2919.92,1,2919.92,147929.73,147930.73,1,147930.73,0,0.000187465,5334.3333,1,213294.54,73.04841913,2919.92,213295.54,331656.3,2.241977039,147930.73,331657.3
